Pet,Furniture,Subway,house_type,district,area,bedroom,suite,garage,total,floor_grouped
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,28,1,0,0,2216,-
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,40,1,0,0,2063,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Santa Cecília,35,1,1,0,2449,11-15
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Consolação,40,1,1,0,1868,16-20
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,60,1,1,0,2054,6-10
Aceita pet,Mobiliado,Metrô próx.,Studio,Bela Vista,40,1,1,1,3018,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,30,1,0,0,2301,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Liberdade,37,1,0,0,2644,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,35,1,0,0,1601,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,44,1,0,0,2022,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,57,1,0,0,2918,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,32,1,0,0,1381,11-15
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,45,2,1,0,2148,6-10
Não aceita,Mobiliado,Metrô próx.,Apartamento,Liberdade,37,1,0,0,1513,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Bela Vista,40,1,1,1,4025,16-20
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,48,2,0,0,2658,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,86,2,0,1,3061,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,30,1,0,0,1556,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,33,1,0,0,1300,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,57,2,1,1,4720,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,30,1,1,0,2608,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,0,0,2084,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,80,2,1,0,3005,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,65,2,1,1,4185,16-20
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,30,1,1,0,1328,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,42,1,0,0,3177,11-15
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,41,1,0,0,3153,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,22,1,0,0,1578,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,37,1,0,0,3410,11-15
Não aceita,Sem mobília,Metrô próx.,Studio,Consolação,30,1,0,0,1897,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,130,2,0,0,2880,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Centro,30,1,0,0,1603,16-20
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,120,3,2,0,7559,11-15
Não aceita,Mobiliado,Metrô próx.,Apartamento,Bela Vista,73,3,1,0,3830,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,22,1,0,0,2464,20+
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,100,3,1,1,5284,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,22,1,0,0,2405,20+
Não aceita,Mobiliado,Metrô próx.,Studio,Consolação,49,1,0,0,4076,11-15
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,73,2,0,1,2986,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,147,4,0,0,3897,6-10
